,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
440,4lJNen4SMTIJMahALc3DcB,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",3.1171,74,2023-06-19 13:19:04+00:00,0ujHQ5WCLuKJQXOqXpGtpf,"LABRINTH, SIA & DIPLO PRESENT... LSD",10,https://open.spotify.com/track/4lJNen4SMTIJMahALc3DcB,https://open.spotify.com/album/0ujHQ5WCLuKJQXOqXpGtpf,2019
441,6p8eEdiZLKJH8tcjGZuNTK,Run,Joji,3.25,63,2023-06-19 13:19:04+00:00,6vC3YjRy755VljFSemBUu7,Run,1,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK,https://open.spotify.com/album/6vC3YjRy755VljFSemBUu7,2020
442,4aIoxZWHySrA3BpnmeREXJ,Only Acting,Kero Kero Bonito,3.8309,0,2023-06-19 13:19:04+00:00,5Az98PddCKwVoorl9pK6U7,Time 'n' Place,12,https://open.spotify.com/track/4aIoxZWHySrA3BpnmeREXJ,https://open.spotify.com/album/5Az98PddCKwVoorl9pK6U7,2018
443,56b58iOsWDoqeifSiIuOmj,Promise Ring (feat. Ciara),"Tiffany Evans, Ciara",4.422,45,2023-06-19 13:19:04+00:00,2r61sLAO2XRQt1r7kqbo6e,Tiffany Evans,11,https://open.spotify.com/track/56b58iOsWDoqeifSiIuOmj,https://open.spotify.com/album/2r61sLAO2XRQt1r7kqbo6e,2005
444,39YovPslPCXbFYhlYjsZ2Y,Don't Mess With My Man (feat. Brian Casey & Brandon Casey),"Nivea, Brian Casey, Brandon Casey",3.5537666666666667,59,2023-06-19 13:19:04+00:00,6tXzTKfHd9fR1OPsvstxVt,Nivea,14,https://open.spotify.com/track/39YovPslPCXbFYhlYjsZ2Y,https://open.spotify.com/album/6tXzTKfHd9fR1OPsvstxVt,2002
445,6ynolYlug6ZWH2pW6TC9s0,Hands Up,TLC,3.81155,37,2023-06-19 13:19:04+00:00,2QuYio1K1TNDyJhXKl81wV,3D,13,https://open.spotify.com/track/6ynolYlug6ZWH2pW6TC9s0,https://open.spotify.com/album/2QuYio1K1TNDyJhXKl81wV,2002
446,5BOBHIBuzvQuIYL1E1nDzl,Shea Butter Baby (with J. Cole),"Ari Lennox, J. Cole",3.5268333333333333,67,2023-06-19 13:19:04+00:00,3hejjJbFsinMBc1KBqF71w,Shea Butter Baby,12,https://open.spotify.com/track/5BOBHIBuzvQuIYL1E1nDzl,https://open.spotify.com/album/3hejjJbFsinMBc1KBqF71w,2019
447,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",3.0064333333333333,95,2023-06-19 13:19:04+00:00,2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,14,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o,2017
448,55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,2.5916166666666665,71,2023-06-19 13:19:04+00:00,6Lo6ylJg4qbFfxicPEOzMI,Suga,9,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si,https://open.spotify.com/album/6Lo6ylJg4qbFfxicPEOzMI,2020
449,3WVhkjB7Y4xFruqoCAajBb,Sue Me,Sabrina Carpenter,2.9871,69,2023-06-19 13:19:04+00:00,29mlGxS6kxq1EHxlX1EAZK,Singular Act I,8,https://open.spotify.com/track/3WVhkjB7Y4xFruqoCAajBb,https://open.spotify.com/album/29mlGxS6kxq1EHxlX1EAZK,2018
450,0EM0yABJzbFOvZQkfvuvCy,TOGETHER,"KAYTRANADA, AlunaGeorge, GoldLink",3.287333333333333,0,2023-06-19 13:19:04+00:00,1dZZh7PvVgce1DDsDPzy8Z,99.9%,15,https://open.spotify.com/track/0EM0yABJzbFOvZQkfvuvCy,https://open.spotify.com/album/1dZZh7PvVgce1DDsDPzy8Z,2016
451,1Xv7wEC2UsydXmXXb00TCc,ANGER/ANGER,MYTH & ROID,4.2151,3,2023-06-19 13:19:04+00:00,1G6AOMc4A9Ky2M6Vx05ERO,eYe's,14,https://open.spotify.com/track/1Xv7wEC2UsydXmXXb00TCc,https://open.spotify.com/album/1G6AOMc4A9Ky2M6Vx05ERO,2017
452,7uPKRkWBghjpoFgK4XpsEd,ELEMENT,JxR,3.4702166666666665,18,2023-06-19 13:19:04+00:00,5ZRjanwE6FfETqd3qdIqO5,ELEMENT,2,https://open.spotify.com/track/7uPKRkWBghjpoFgK4XpsEd,https://open.spotify.com/album/5ZRjanwE6FfETqd3qdIqO5,2019
453,0grQK3W2AsUih8AbMWArtO,Take A Hike,Ji Yeon,3.006883333333333,38,2023-06-19 13:19:04+00:00,3AqnltBoRYlppgVM1VAGDK,SENPASS,5,https://open.spotify.com/track/0grQK3W2AsUih8AbMWArtO,https://open.spotify.com/album/3AqnltBoRYlppgVM1VAGDK,2019
